NOM	CARRER	NÚM.	DISTRICTE	BARRI	CODI POSTAL	LOCALITAT	REGIÓ	PAÍS	LATITUD	LONGITUD	TELÈFON 1	TELÈFON 2	EMAIL
Restaurant Fresc Co *Av Diagonal/Muntaner	Av Diagonal	449	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.39360134166667	2.1489241666666667	+34 934106106	+34 933016837	frescco@frescco.com
Restaurant Xinès Hecheng	Entença	12	Eixample	Sant Antoni	08015	BARCELONA	BARCELONA	ESPANYA	41.375703025	2.155971611111111	+34 933252349	---	---
Restaurant Eterna	C Consell de Cent	127-129	Eixample	la Nova Esquerra de l'Eixample	08015	BARCELONA	BARCELONA	ESPANYA	41.38174175555556	2.1528230833333333	+34 93 424 2526	+34 93 423 5075	info@restauranteeterna.com
Restaurant Kailash	C Xifré	100	Sant Martí	el Camp de l'Arpa del Clot	08026	BARCELONA	BARCELONA	ESPANYA	41.41133651944444	2.1804401388888888	+34 934330766	---	tibkailash@hotmail.com
Free Girls	Marià Cubí	4	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08006	BARCELONA	BARCELONA	ESPANYA	41.39936953055555	2.151432388888889	+34 932172296	---	---
Bulería Café-bar	Aribau	66	Eixample	l'Antiga Esquerra de l'Eixample	08011	BARCELONA	BARCELONA	ESPANYA	41.38879096944444	2.158984611111111	+34 934531019	---	---
Restaurant Can Cargol	C València	324	Eixample	la Dreta de l'Eixample	08009	BARCELONA	BARCELONA	ESPANYA	41.39548459444445	2.167451972222222	+34 934589631	+34 934580017	---
Restaurant Hisop	Ptge Marimon	9	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39445760833333	2.1480123333333334	+34 932413233	+34 932413233	hisop@hisop.com
Cafè Just	Sots-tinent Navarro	18	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38267685277778	2.1796073333333332	+34 933106456	---	---
Restaurant Can Seixanta *Pau Claris	C Pau Claris	128	Eixample	la Dreta de l'Eixample	08009	BARCELONA	BARCELONA	ESPANYA	41.39298624166667	2.1669573055555555	+34 934879581	---	---
Restaurant Tívoli Tercer Mil·lenni	C Rector Ubach	25*27	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39807938888889	2.1436165	+34 932090381	+34 932001304	---
Bar Imagine	Aribau	153	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.392690277777774	2.1534565	+34 933225390	---	---
Bar Prelude	Provença	277	Eixample	la Dreta de l'Eixample	08037	BARCELONA	BARCELONA	ESPANYA	41.39613634166667	2.1631571944444445	+34 934879445	---	---
Restaurant Litoral	Pescadors	87	Ciutat Vella	la Barceloneta	08003	BARCELONA	BARCELONA	ESPANYA	41.376059347222224	2.1900202777777777	+34 932212209	+34 932214812	---
Restaurant Bona Tapa	Pg Fabra i Puig	148	Nou Barris	Porta	08016	BARCELONA	BARCELONA	ESPANYA	41.43035123888889	2.180571361111111	+34 933491372	---	---
New Orleans Coffe & Tea Company	Pg Fabra i Puig	276	Nou Barris	el Turó de la Peira	08031	BARCELONA	BARCELONA	ESPANYA	41.430457141666665	2.1732158611111108	+34 933577957	---	---
Restaurant Melton	C Muntaner	189	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.392861583333335	2.1509643888888887	+34 933632776	+34 933632776	---
Cafeteria Restaurant Zelig	C Carme	116	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.37976693888889	2.166256722222222	+34 934415622	---	---
Bar McDonald's *Maremàgnum	Moll Espanya	5*6	Ciutat Vella	el Barri Gòtic	08039	BARCELONA	BARCELONA	ESPANYA	41.37573091111111	2.1832132777777775	+34 932258195	---	---
Restaurant Grill-Braseria	Moll Espanya	5*6	Ciutat Vella	el Barri Gòtic	08039	BARCELONA	BARCELONA	ESPANYA	41.37573091111111	2.1832132777777775	---	---	---
Bar Nit i Dia *Maremàgnum	Moll Espanya	5*6	Ciutat Vella	el Barri Gòtic	08039	BARCELONA	BARCELONA	ESPANYA	41.37573091111111	2.1832132777777775	+34 932258001	---	---
Bar restaurant Berlín	Muntaner	242	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.394329347222225	2.149497361111111	+34 932006542	---	---
Restaurant El Comedor	C Palau	6	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38110431388889	2.1781321666666664	+34 933175405	---	---
Restaurant Polenta	C Ample	51	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.381238269444445	2.1805003333333333	+34 932681429	---	---
Bar Jupiter	Jupí	4	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.382098825	2.18008325	+34 932683650	---	---
Bar Restaurant L'Hostal de la Bona Sort	C Carders	12	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38608679722222	2.1802485833333334	+34 933105460	---	---
Restaurant Lizarran *Sardenya	C Sardenya	324	Eixample	la Sagrada Família	08025	BARCELONA	BARCELONA	ESPANYA	41.40382598611111	2.172937138888889	+34 934462003	+34 902400046	lizarransagradafamilia@yahoo.com
Restaurant Coure	Ptge Marimon	20	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39440351388889	2.147880222222222	+34 932007532	---	restaurantcoure@hotmail.com
Restaurant Farga *Beethoven	C Beethoven	11	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39308124722222	2.1405547222222223	+34 932402044	+34 934146519	---
Restaurant Asador de Aranda *Pau Claris	C Pau Claris	70	Eixample	la Dreta de l'Eixample	08010	BARCELONA	BARCELONA	ESPANYA	41.38921386388889	2.171962388888889	+34 933425577	+34 933425578	asador@asadoraranda.com
Restaurant Foster's Hollywood *Pg M Girona	Pg Manuel Girona	38*LB	Les Corts	Pedralbes	08034	BARCELONA	BARCELONA	ESPANYA	41.390579880555556	2.123404777777778	+34 932806153	+34 932060174	fostershollywood@fostershollywood.es
Restaurant Foster's Hollywood *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608851	+34 933608852	fostershollywood@fostershollywood.es
Restaurant Foster's Hollywood *Heron City	Av Rio de Janeiro	42	Nou Barris	Porta	08016	BARCELONA	BARCELONA	ESPANYA	41.43509441944444	2.1810243333333332	+34 932761954	+34 932761962	fostershollywood@fostershollywood.es
Bar Restaurant La Tasqueta	Pallars	243	Sant Martí	el Poblenou	08005	BARCELONA	BARCELONA	ESPANYA	41.40296381388889	2.200019611111111	+34 933075901	---	---
Bar Restaurant Pita Inn *Heron City	Av Rio de Janeiro	42	Nou Barris	Porta	08016	BARCELONA	BARCELONA	ESPANYA	41.43509441944444	2.1810243333333332	+34 933010037	---	---
Restaurant Bar Musical Imprevist	C Ferlandina	34	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.38169648888889	2.1645231944444445	+34 933425859	---	---
Bar Restaurant Japonès Machiroku	C Moles	21	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38717027777778	2.1729170555555553	+34 934126082	---	---
Bar cafeteria Il Caffè di Roma *Heron City	Av Rio de Janeiro	42	Nou Barris	Porta	08016	BARCELONA	BARCELONA	ESPANYA	41.43509441944444	2.1810243333333332	+34 932765126	---	---
Restaurant Rodilla *Diagonal Mar	Av Diagonal	3	Sant Martí	Poble Nou	08019	BARCELONA	BARCELONA	ESPANYA	41.41097503333333	2.2185804444444446	+34 933560413	+34 933562403	---
Restaurant Little Italy *Av Marques de L'Argentera	Av Marquès de l'Argentera	19	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38499712777778	2.185030111111111	+34 932687633	+34 934813071	---
Hotel Saint Moritz	C Diputació	262*264	Eixample	la Dreta de l'Eixample	08007	BARCELONA	BARCELONA	ESPANYA	41.39093758333333	2.1679429999999997	+34 934121500	+34 934121236	---
Bar Ca la Lluisa *Diagonal Mar	Av Diagonal	3	Sant Martí	Poble Nou	08019	BARCELONA	BARCELONA	ESPANYA	41.41097503333333	2.2185804444444446	+34 935525617	+34 935525618	---
Restaurant El Racó d'en José Luis II	C Salvador Espriu	61	Sant Martí	la Vila Olímpica del Poblenou	08005	BARCELONA	BARCELONA	ESPANYA	41.390896519444446	2.1978509444444443	+34 932211122	+34 902104143	---
Da Geppetto	Rbla Poblenou	27	Sant Martí	el Poblenou	08005	BARCELONA	BARCELONA	ESPANYA	41.39898908333333	2.2035011944444447	+34 932254018	---	---
Club Natació Atlètic - Barceloneta	Pl Mar	1	Ciutat Vella	la Barceloneta	08003	BARCELONA	BARCELONA	ESPANYA	41.375434713888886	2.1898365833333333	+34 932210387	---	---
Restaurant Taberna Abasolo Etxea	C Marià Cubí	190	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39488239722222	2.1438170833333334	+34 932004877	+34 932092422	---
Bar Berlin	Muntaner	240	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.394329347222225	2.149497361111111	+34 932006542	---	---
Bar Restaurant On	Sant Domènec del Call	14	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.382895425	2.1754921388888886	---	---	---
Restaurant Biblioteca	C Junta de Comerç	28	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.37923755833334	2.1719045555555554	+34 934126221	---	chef@bilbio-teca.com
Bar musical Fritz Mar	Pg Marítim Barceloneta	34	Ciutat Vella	la Barceloneta	08005	BARCELONA	BARCELONA	ESPANYA	41.383444583333336	2.1954624444444444	+34 932217765	+34 934146990	---
Hotel Rívoli Rambla	C la Rambla	128	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38428501666667	2.1711567777777776	+34 934817676	+34 933175053	---
Hotel Barcelona Hilton	Av Diagonal	589*591	Les Corts	les Corts	08014	BARCELONA	BARCELONA	ESPANYA	41.38889217222222	2.131376027777778	+34 934957777	+34 934957700	---
Bar Restaurant L'Explendid	C Aribau	254	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08006	BARCELONA	BARCELONA	ESPANYA	41.39647592777778	2.14893075	+34 932008877	---	---
Restaurant Bar Ra	Pl Gardunya	1	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.381770933333335	2.1706049166666666	+34 933014163	+34 933016132	---
Restaurant Embat	C Mallorca	304	Eixample	la Dreta de l'Eixample	08037	BARCELONA	BARCELONA	ESPANYA	41.397031572222225	2.1669864444444444	+34 934580855	---	info@restaurantembat.es
Base Nàutica Municipal de la Mar Bella	Ptja Bogatell	---	Sant Martí	Poble Nou	08005	BARCELONA	BARCELONA	ESPANYA	40.64370160833333	1.8165979444444444	+34 932210432	---	---
Reial Cercle Artístic - Institut Barcelonès d'Art	C Arcs	5	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38453696111111	2.174494388888889	+34 933015937	---	cercleartistic@cconline.es
Cafeteria Café & Té *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608105	---	---
Natural Blend *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608145	---	---
Vilaplana *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	---	---	---
Dunkin Donuts *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608767	---	---
Jamaica Coffee Shop *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.44077756666666	2.198467194444444	+34 933608729	---	---
Cafeteria Cafe Quijano *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608741	---	---
Restaurant Bazaar *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608350	---	---
Restaurant Taverna Sagardi-Euskal *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608115	+34 902520522	reservas@sagardi.es
Res. Pastafiore *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608097	---	pfbarcelonamaquinista@pansandcompany.com
Restaurant Pitamanía *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608864	---	---
Cerveseria Restaurant Gambrinus *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608219	---	---
Restaurant Lizarran *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608941	+34 902400046	dfcpromo@wanodoo.es
Restaurant TapasBar *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608879	---	---
Restaurant La Granja *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608186	---	---
Restaurant Cantina Mariachi *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608346	+34 933608346	---
Cerveseria Restaurant El Fraile *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608944	+34 932213481	elfraile@elfraile.net
Restaurant Trattoria Ginos *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608123	+34 902423423	---
Bar Burger King *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	---	---	---
Bar McDonald's *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608732	---	---
Bar Pans & Company *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	+34 933608040	---	---
Happy Crack *La Maquinista	Pg Potosí	2	Sant Andreu	el Bon Pastor	08030	BARCELONA	BARCELONA	ESPANYA	41.442532125	2.198353	---	---	---
Restaurant La Lluna	Cro Sant Bonaventura	5	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38519257222222	2.1717846666666665	+34 933424479	---	info@lallunarestaurant.com
Bar Terra	Pujades	64	Sant Martí	el Parc i la Llacuna del Poblenou	08005	BARCELONA	BARCELONA	ESPANYA	41.394723633333335	2.1919009999999997	+34 932322486	---	---
Hotel Intercontinental Princesa Sofía Barcelona	Pl Pius XII	4	Les Corts	la Maternitat i Sant Ramon	08034	BARCELONA	BARCELONA	ESPANYA	41.38652906944444	2.1231086944444444	+34 935081010	+34 933302154	psofiacontraste@expogrupo.com
Restaurant Sugar Club *World Trade Center	Moll Barcelona	1	Ciutat Vella	el Raval	08039	BARCELONA	BARCELONA	ESPANYA	41.371059611111114	2.1823455833333334	+34 902888115	+34 935088325	info@sugarclub-barcelona.com
Bar Restaurant O'Carballo	Trav Gràcia	252	Gràcia	el Camp d'en Grassot i Gràcia Nova	08025	BARCELONA	BARCELONA	ESPANYA	41.40547245	2.1646219444444443	+34 934574197	---	---
Bar Restaurant Xiscarexantar	Pere IV	59	Sant Martí	el Parc i la Llacuna del Poblenou	08018	BARCELONA	BARCELONA	ESPANYA	41.396266097222224	2.1922189444444444	+34 934855862	+34 934855862	---
Restaurant Txalaparta	C Sants	146*152	Sants-Montjuïc	Sants	08028	BARCELONA	BARCELONA	ESPANYA	41.37554660833333	2.133652861111111	+34 934092019	+34 934902973	txalaparta@restaurantetxalaparta.com
Restaurant Alta Taberna Paco Meralgo	C Muntaner	171	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.391713527777775	2.1524825	+34 934309027	+34 933221507	---
Restaurant de Tapa Madre	C Mallorca	301	Eixample	la Dreta de l'Eixample	08037	BARCELONA	BARCELONA	ESPANYA	41.39694865	2.166505972222222	+34 934593134	+34 934572861	detapamadre@hotmail.com
Restaurant Carmelitas	C Carme	42	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.38181298888889	2.1693390555555556	+34 934124684	+34 933426751	carmelitas@iservicesmail.com
Restaurant Torre d'Altamar	Pg J Borbó Comte Barcelona	88	Ciutat Vella	la Barceloneta	08039	BARCELONA	BARCELONA	ESPANYA	41.37314246111111	2.1879252777777776	+34 932210007	+34 932210090	reserves@torredealtamar.com
Centre Garcilaso	C Garcilaso	103	Sant Andreu	la Sagrera	08027	BARCELONA	BARCELONA	ESPANYA	41.422605125	2.1862141666666663	+34 932562959	+34 932431710	---
Cafeteria The Bagel Shop	Pl Vila de Gràcia	8	Gràcia	Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.40042602222222	2.1577265555555556	+34 932176101	---	---
Gran Casino de Barcelona	C Marina	19*21	Ciutat Vella	la Barceloneta	08005	BARCELONA	BARCELONA	ESPANYA	41.38708262222222	2.1965545	+34 932257878	+34 932252182	---
Bar Restaurant Arrel del Born	C Fusina	5	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38636758888889	2.1830243055555556	+34 933199299	+34 933199299	arrel@virtualsys.com
Bar Restaurant Cros Diagonal	Av Diagonal	433	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.39419608888889	2.1512805555555556	+34 934143748	+34 932094332	crosdiagonal@yahoo.es
Restaurant La Vinya del Senyor *Avinguda Sarrià	Av Sarrià	15	Eixample	la Nova Esquerra de l'Eixample	08029	BARCELONA	BARCELONA	ESPANYA	41.389872269444446	2.146914111111111	+34 934102511	---	---
Pizza Sapri *Gal.lileu	Galileu	326	Les Corts	les Corts	08028	BARCELONA	BARCELONA	ESPANYA	41.38615653888889	2.1312494444444443	+34 933222040	+34 902100796	---
Restaurant Las Fiestas del Convento	C Jerusalem	3	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.38112295	2.1715035277777774	+34 933022432	+34 933020873	info@sebastiangroup.com
Cerveseria Restaurant Can Xapata	C Casanova	213	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39420846944444	2.1469185	+34 932402184	---	---
Restaurant Japonès Prosperity Sushi	C València	240	Eixample	l'Antiga Esquerra de l'Eixample	08007	BARCELONA	BARCELONA	ESPANYA	41.390482399999996	2.1605586666666667	+34 934516228	---	---
Restaurant La Polpa	C Enric Granados	69	Eixample	l'Antiga Esquerra de l'Eixample	08008	BARCELONA	BARCELONA	ESPANYA	41.391198869444445	2.1576870277777775	+34 933238308	---	---
Restaurant Xinés Memorias de China	C Lincoln	17	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08006	BARCELONA	BARCELONA	ESPANYA	41.400446655555555	2.149914361111111	+34 934157602	+34 932183304	info@memoriasdechina.es
Restaurant El Rovell del Born	C Argenteria	6	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38363045	2.1801911111111107	+34 932690458	---	---
Café Restaurant L'Appart	C Pelai	9	Eixample	la Dreta de l'Eixample	08001	BARCELONA	BARCELONA	ESPANYA	41.38585456388889	2.166529611111111	+34 933176673	---	---
Restaurant La General de Tartas	Pg Bonanova	56	Sarrià-Sant Gervasi	Sant Gervasi - la Bonanova	08017	BARCELONA	BARCELONA	ESPANYA	41.403305394444445	2.1272723055555556	+34 932123302	---	---
Restaurant Japonès Sumo *Centre de la Vila	C Salvador Espriu	61	Sant Martí	la Vila Olímpica del Poblenou	08005	BARCELONA	BARCELONA	ESPANYA	41.390896519444446	2.1978509444444443	+34 932219847	+34 932219847	---
Restaurant Japonès Sumo *Diagonal Mar	Av Diagonal	3	Sant Martí	Poble Nou	08019	BARCELONA	BARCELONA	ESPANYA	41.41042665833333	2.2164054444444448	+34 933562327	+34 933562327	---
Restaurant Chido One	C Torrijos	30	Gràcia	la Vila de Gràcia	08012	BARCELONA	BARCELONA	ESPANYA	41.40326995555555	2.1590226388888887	+34 932850335	+34 932371531	info@chidoone.com
Bar Restaurant 12+1 Deport Restaurant	Arquitecte Sert	17*19	Sant Martí	la Vila Olímpica del Poblenou	08005	BARCELONA	BARCELONA	ESPANYA	41.390896519444446	2.1978509444444443	+34 932219752	+34 932219752	12mas1@12mas1.com
Cerveseria Restaurant Vildsvin	C Ferran	38	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.381973994444444	2.17633375	+34 933179455	---	reservas@sagardi.es
Xiringuito Splashh	Ptja Barceloneta	100*LP	Ciutat Vella	Barceloneta	08003	BARCELONA	BARCELONA	ESPANYA	41.37586967777778	2.1911498055555554	---	---	---
Bar El 24	Ferran	24	Ciutat Vella	el Barri Gòtic	08002	BARCELONA	BARCELONA	ESPANYA	41.38120663888889	2.175372583333333	+34 933020986	---	---
Restaurant Va de Vi	Banys Vells	16	Ciutat Vella	Sant Pere, Santa Caterina i la Ribera	08003	BARCELONA	BARCELONA	ESPANYA	41.38419725	2.1811459166666665	+34 933192900	---	---
Museu d'Història de Catalunya	Pl Pau Vila	3	Ciutat Vella	la Barceloneta	08039	BARCELONA	BARCELONA	ESPANYA	41.3808077	2.185855722222222	+34 932210050	---	---
Restaurant Self-service Polimenú*La Cup	C Jordi Girona	1-3	Les Corts	Pedralbes	08034	BARCELONA	BARCELONA	ESPANYA	41.38991789166666	2.115375111111111	+34 934017107	+34 932044020	notable@versin.com
Restaurant Notable *La Cup	C Jordi Girona	3*5	Les Corts	Pedralbes	08034	BARCELONA	BARCELONA	ESPANYA	41.387871077777774	2.114651777777778	+34 934017107	+34 932044020	polinotable@terra.es
Restaurant Els Pollos de Llull *Ramon Turró	C Ramon Turró	13	Sant Martí	la Vila Olímpica del Poblenou	08005	BARCELONA	BARCELONA	ESPANYA	41.39104871666667	2.190924222222222	+34 932213206	+34 607350289	info@elspollos.com
Bar La Confiteria	Sant Pau	128	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.37548766111111	2.1679224166666664	+34 93 443 0458	---	---
Abba Sants Hotel	C Numància	32	Sants-Montjuïc	Sants	08029	BARCELONA	BARCELONA	ESPANYA	41.38256868055556	2.140019166666667	+34 936003131	+34 936003101	abbasants@abbahoteles.com
Centro Riojano de Barcelona	Peu de la Creu	8*10	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.38147130833333	2.1673136666666664	+34 934430854	+34 934423827	---
Restaurant Ugarit Bruniquer	C Bruniquer	37	Gràcia	la Vila de Gràcia	08024	BARCELONA	BARCELONA	ESPANYA	41.40514408333333	2.161355611111111	+34 932841214	---	---
Restaurant Baravins	C Comte d'Urgell	196	Eixample	l'Antiga Esquerra de l'Eixample	08036	BARCELONA	BARCELONA	ESPANYA	41.38799417777778	2.151068638888889	+34 934515172	---	baravins@teleline.es
Restaurant Las Guindas	C Sant Pau	126	Ciutat Vella	el Raval	08001	BARCELONA	BARCELONA	ESPANYA	41.375554372222226	2.168013722222222	---	---	---
Restaurant Gran Babilonia	C Santaló	125	Sarrià-Sant Gervasi	Sant Gervasi - Galvany	08021	BARCELONA	BARCELONA	ESPANYA	41.39921979166667	2.1411856666666664	+34 932010904	+34 934142195	---
Fàbrica de Creació Ateneu Popular 9 Barris	C Portlligat	11-15	Nou Barris	la Trinitat Nova	08042	BARCELONA	BARCELONA	ESPANYA	41.44960580833333	2.1789486666666664	+34 932761187	+34 933503000	info@ateneu9b.net
